

 Berlin 	 Berlin 	3,677,472 	3,520,031 	+4.47% 	Steady 0 	891.3 km2
344.1 sq mi 	4,126/km2
10,690/sq mi 	52°31′N 13°23′E
2 	 Hamburg 	 Hamburg 	1,906,411 	1,787,408 	+6.66% 	Steady 0 	755.2 km2
291.6 sq mi 	2,524/km2
6,540/sq mi 	53°33′N 10°0′E
3 	 Munich (München) 	 Bavaria 	1,487,708 	1,450,381 	+2.57% 	Steady 0 	310.7 km2
120.0 sq mi 	4,788/km2
12,400/sq mi 	48°8′N 11°34′E
4 	 Cologne (Köln) 	 North Rhine-Westphalia 	1,073,096 	1,060,582 	+1.18% 	Steady 0 	405.15 km2
156.43 sq mi 	2,648/km2
6,860/sq mi 	50°56′N 6°57′E
5 	 Frankfurt am Main 	 Hesse 	759,224 	732,688 	+3.62% 	Steady 0 	248.31 km2
95.87 sq mi 	3,057/km2
7,920/sq mi 	50°7′N 8°41′E
6 	 Stuttgart 	 Baden-Württemberg 	626,275 	623,738 	+0.41% 	Steady 0 	207.33 km2
80.05 sq mi 	3,020/km2
7,800/sq mi 	48°47′N 9°11′E
7 	 Düsseldorf 	 North Rhine-Westphalia 	619,477 	612,178 	+1.19% 	Steady 0 	217.41 km2
83.94 sq mi 	2,849/km2
7,380/sq mi 	51°14′N 6°47′E
8 	 Leipzig 	 Saxony 	601,866 	560,472 	+7.39% 	Increase 2 	297.4 km2
114.8 sq mi 	2,024/km2
5,240/sq mi 	51°20′N 12°23′E
9 	 Dortmund 	 North Rhine-Westphalia 	586,852 	586,181 	+0.11% 	Decrease 1 	280.71 km2
108.38 sq mi 	2,091/km2
5,420/sq mi 	51°31′N 7°28′E
10 	 Essen 	 North Rhine-Westphalia 	579,432 	582,624 	−0.55% 	Decrease 1 	210.34 km2
81.21 sq mi 	2,755/km2
7,140/sq mi 	51°27′N 7°1′E
11 	Bremen 	 Bremen 	563,290 	557,464 	+1.05% 	Steady 0 	326.7 km2
126.1 sq mi 	1,724/km2
4,470/sq mi 	53°5′N 8°48′E
12 	 Dresden 	 Saxony 	555,351 	543,825 	+2.12% 	Steady 0 	328.8 km2
127.0 sq mi 	1,689/km2
4,370/sq mi 	51°2′N 13°44′E
13 	Hanover (Hannover) 	 Lower Saxony 	535,932 	532,163 	+0.71% 	Steady 0 	204.0 km2
78.8 sq mi 	2,627/km2
6,800/sq mi 	52°22′N 9°43′E
14 	 Nuremberg (Nürnberg) 	 Bavaria 	510,632 	509,975 	+0.13% 	Steady 0 	186.5 km2
72.0 sq mi 	2,739/km2
7,090/sq mi 	49°27′N 11°5′E
15 	 Duisburg 	 North Rhine-Westphalia 	495,152 	491,231 	+0.80% 	Steady 0 	232.8 km2
89.9 sq mi 	2,127/km2
5,510/sq mi 	51°26′N 6°46′E
16 	 Bochum 	 North Rhine-Westphalia 	363,441 	364,742 	−0.36% 	Steady 0 	145.4 km2
56.1 sq mi 	2,500/km2
6,500/sq mi 	51°29′N 7°13′E
