,job_title,company_location,salary
0,ML Engineer,Germany,15820.0
1,Data Science,Germany,16950.0
2,Machine Learning Research Engineer,France,22600.0
3,Machine Learning Engineer,Germany,23730.0
4,Data Scientist,Germany,24408.0
5,Data Engineer,Germany,28250.0
6,Data Analyst,France,30510.0
7,Research Engineer,France,33900.0
8,Data Scientist,France,35030.0
9,Machine Learning Developer,Germany,37290.0
10,Machine Learning Scientist,Germany,37290.0
11,AI Engineer,Germany,39550.0
12,Data Scientist,France,39550.0
13,Data Scientist,France,41810.0
14,Data Scientist,France,42940.0
15,Data Analyst,Germany,44070.0
16,Data Scientist,France,45200.0
17,Machine Learning Specialist,France,45200.0
18,Applied Machine Learning Scientist,Germany,45200.0
19,Data Analyst,France,46330.0
20,Data Scientist,France,47460.0
21,Data Analyst,Germany,47460.0
22,Data Scientist,Germany,48816.0
23,Data Scientist,France,50850.0
24,Data Scientist,France,50850.0
25,Data Engineer,Germany,54240.0
26,BI Data Analyst,Germany,54240.0
27,Research Scientist,France,54240.0
28,Data Engineer,France,54240.0
29,Data DevOps Engineer,France,56500.0
30,Data Scientist,Germany,56500.0
31,Data Scientist,France,56500.0
32,Data Analyst,France,56500.0
33,Data Engineer,Germany,56500.0
34,Data Engineer,Germany,58758.87
35,Data Engineer,Germany,59664.0
36,Research Scientist,France,59890.0
37,Data Engineer,France,59890.0
38,Data Analyst,Germany,61020.0
39,Data Science Consultant,Germany,61020.0
40,Data Engineer,Germany,62150.0
41,Director of Data Science,France,62150.0
42,Data Analyst,Germany,62150.0
43,Data Scientist,Germany,62150.0
44,Data Scientist,Germany,63280.0
45,Computer Vision Engineer,France,63280.0
46,Data Scientist,Germany,63280.0
47,BI Data Analyst,Germany,65540.0
48,Data Scientist,Germany,65540.0
49,Data Scientist,Germany,65540.0
50,Data Scientist,France,67800.0
51,Applied Data Scientist,Germany,67800.0
52,AI Scientist,Germany,67800.0
53,Data Engineer,France,67800.0
54,AI Developer,Germany,67800.0
55,Data Scientist,France,67800.0
56,Data Scientist,Germany,68930.0
57,Data Engineer,France,69495.0
58,Data Engineer,France,70060.0
59,Data Engineer,Germany,70625.0
60,Machine Learning Research Engineer,Germany,71190.0
61,Data Science Consultant,Germany,73450.0
62,Applied Machine Learning Engineer,Germany,73450.0
63,Data Engineer,France,73450.0
64,Data Science Consultant,Germany,73450.0
65,Data Scientist,France,74263.6
66,BI Data Analyst,Germany,75710.0
67,Data Analytics Engineer,Germany,75710.0
68,Data Scientist,Germany,79100.0
69,Machine Learning Engineer,France,79100.0
70,Machine Learning Specialist,France,79100.0
71,Data Scientist,Germany,79100.0
72,Machine Learning Infrastructure Engineer,France,79100.0
73,Data Engineer,Germany,81360.0
74,Data Scientist,Germany,81360.0
75,Data Scientist,Germany,84750.0
76,Data Engineer,France,84750.0
77,Data Scientist,Germany,86738.8
78,Lead Machine Learning Engineer,Germany,90400.0
79,Machine Learning Engineer,Germany,90400.0
80,Research Scientist,Germany,90400.0
81,Research Engineer,Germany,90400.0
82,Machine Learning Engineer,France,90400.0
83,Machine Learning Engineer,Germany,90400.0
84,Data Engineer,Germany,94821.69
85,Research Scientist,France,96050.0
86,Machine Learning Engineer,Germany,96050.0
87,Data DevOps Engineer,Germany,99440.0
88,Data Engineer,France,101700.0
89,Data Scientist,France,101700.0
90,ML Engineer,Germany,105429.0
91,Machine Learning Infrastructure Engineer,France,113000.0
92,Research Engineer,Germany,113000.0
93,Data Engineer,Germany,113000.0
94,BI Data Analyst,France,113000.0
95,Machine Learning Engineer,Germany,118650.0
96,Data Engineer,France,124300.0
97,Director of Data Science,Germany,124300.0
98,Machine Learning Engineer,France,124300.0
99,Data Scientist,France,124300.0
100,Deep Learning Researcher,Germany,129950.0
101,AI Scientist,Germany,135600.0
102,AI Programmer,France,135600.0
103,Research Scientist,Germany,135600.0
104,Director of Data Science,Germany,135600.0
105,ML Engineer,Germany,136956.0
106,Principal Data Scientist,Germany,146900.0
107,Machine Learning Engineer,Germany,146900.0
108,Data Engineer,Germany,160686.0
109,Principal Data Scientist,Germany,166110.0
110,Principal Data Scientist,Germany,167240.0
111,AI Developer,France,169500.0
112,Data Science Manager,France,171760.0
113,Research Engineer,France,189840.0
114,Machine Learning Engineer,Germany,196620.0
115,Research Engineer,Germany,196620.0
116,Machine Learning Engineer,Germany,213570.0
117,Machine Learning Engineer,France,224870.0
118,AI Developer,Germany,226000.0
119,Data Engineer,Germany,231085.0
120,ML Engineer,Germany,239560.0
121,Research Engineer,France,254250.0
122,Machine Learning Engineer,France,254250.0
123,Research Engineer,Germany,310750.0
124,Machine Learning Engineer,Germany,310750.0
125,ML Engineer,Germany,310750.0
126,Applied Machine Learning Scientist,Germany,4520000.0
