,Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
0,15/01/2025,2024/25,Blackburn,Portsmouth,3,0,H,0.0,0.0,D,F Hallam,13.0,11.0,6.0,2.0,15.0,19.0,5.0,6.0,1.0,3.0,0.0,0.0,20250115,English Second
1,14/01/2025,2024/25,Cardiff,Watford,1,1,D,0.0,0.0,D,O Langford,12.0,4.0,4.0,2.0,8.0,14.0,7.0,3.0,1.0,2.0,0.0,0.0,20250114,English Second
2,14/01/2025,2024/25,Plymouth,Oxford,1,1,D,0.0,1.0,A,S Allison,11.0,8.0,2.0,3.0,8.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,20250114,English Second
3,6/01/2025,2024/25,QPR,Luton,2,1,H,1.0,1.0,D,A Davies,15.0,18.0,6.0,4.0,10.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,20250106,English Second
4,5/01/2025,2024/25,Sunderland,Portsmouth,1,0,H,1.0,0.0,H,T Bramall,24.0,6.0,8.0,1.0,9.0,10.0,7.0,3.0,1.0,2.0,0.0,1.0,20250105,English Second
5,4/01/2025,2024/25,Blackburn,Burnley,0,1,A,0.0,0.0,D,A Kitchen,11.0,4.0,1.0,2.0,16.0,18.0,10.0,0.0,2.0,2.0,0.0,0.0,20250104,English Second
6,4/01/2025,2024/25,Stoke,Plymouth,0,0,D,0.0,0.0,D,D Whitestone,18.0,2.0,3.0,1.0,13.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0,20250104,English Second
7,4/01/2025,2024/25,Swansea,West Brom,1,1,D,0.0,0.0,D,S Allison,11.0,16.0,2.0,4.0,6.0,8.0,5.0,6.0,2.0,4.0,0.0,0.0,20250104,English Second
8,4/01/2025,2024/25,Bristol City,Derby,1,0,H,1.0,0.0,H,W Finnie,11.0,9.0,2.0,3.0,7.0,12.0,6.0,7.0,3.0,1.0,0.0,0.0,20250104,English Second
9,4/01/2025,2024/25,Hull,Leeds,3,3,D,1.0,0.0,H,A Backhouse,15.0,17.0,6.0,9.0,14.0,9.0,5.0,7.0,0.0,1.0,0.0,0.0,20250104,English Second
