,job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,salary_level
6590,ML Engineer,Entry-level,Part-time,Remote,2020,Germany,14000,EUR,15966,Germany,Small,low income
540,Data Science,Entry-level,Part-time,Hybrid,2024,Germany,15000,EUR,16666,Germany,Medium,low income
6469,Machine Learning Research Engineer,Entry-level,Full-time,Hybrid,2021,France,20000,USD,20000,France,Medium,low income
6497,Machine Learning Engineer,Entry-level,Full-time,Hybrid,2021,Germany,21000,EUR,24823,Germany,Medium,low income
6494,Data Scientist,Mid-level,Full-time,Remote,2021,Serbia,21600,EUR,25532,Germany,Small,low income
4980,Data Engineer,Entry-level,Full-time,Remote,2023,Germany,25000,EUR,26992,Germany,Large,low income
6199,Data Analyst,Entry-level,Full-time,Hybrid,2022,France,27000,EUR,28368,France,Medium,low income
4886,Research Engineer,Entry-level,Full-time,On-site,2023,France,30000,EUR,32390,France,Medium,
6474,Data Scientist,Entry-level,Full-time,Hybrid,2021,France,31000,EUR,36643,France,Large,middle income
6229,Machine Learning Developer,Entry-level,Full-time,Remote,2022,Italy,33000,USD,33000,Germany,Small,middle income
6230,Machine Learning Scientist,Entry-level,Full-time,Remote,2022,Italy,33000,EUR,34672,Germany,Small,middle income
4953,AI Engineer,Entry-level,Full-time,Remote,2023,Croatia,35000,USD,35000,Germany,Medium,middle income
6581,Data Scientist,Entry-level,Full-time,On-site,2020,France,35000,EUR,39916,France,Medium,middle income
6582,Data Scientist,Mid-level,Full-time,Hybrid,2020,France,37000,EUR,42197,France,Small,middle income
6196,Data Scientist,Entry-level,Full-time,Hybrid,2022,France,38000,EUR,39925,France,Large,middle income
4952,Data Analyst,Mid-level,Full-time,Hybrid,2023,Germany,39000,EUR,42107,Germany,Medium,middle income
4897,Data Scientist,Mid-level,Full-time,Hybrid,2023,France,40000,USD,40000,France,Large,middle income
4888,Machine Learning Specialist,Mid-level,Full-time,Remote,2023,France,40000,USD,40000,France,Medium,middle income
4970,Applied Machine Learning Scientist,Entry-level,Full-time,Hybrid,2023,Germany,40000,EUR,43187,Germany,Medium,middle income
6578,Data Analyst,Mid-level,Full-time,Hybrid,2020,France,41000,EUR,46759,France,Large,middle income
6470,Data Scientist,Entry-level,Full-time,Hybrid,2021,France,42000,EUR,49646,France,Medium,middle income
6586,Data Analyst,Entry-level,Full-time,On-site,2020,Germany,42000,EUR,47899,Germany,Large,middle income
6587,Data Scientist,Entry-level,Full-time,On-site,2020,Germany,43200,EUR,49268,Germany,Small,middle income
6580,Data Scientist,Entry-level,Full-time,On-site,2020,France,45000,EUR,51321,France,Small,middle income
6473,Data Scientist,Senior-level,Full-time,Hybrid,2021,France,45000,EUR,53192,France,Large,middle income
6588,Data Engineer,Entry-level,Full-time,Remote,2020,Pakistan,48000,EUR,54742,Germany,Large,middle income
6235,BI Data Analyst,Mid-level,Full-time,Remote,2022,Germany,48000,EUR,50432,Germany,Small,middle income
6476,Research Scientist,Mid-level,Full-time,Hybrid,2021,France,48000,EUR,56738,France,Small,middle income
4881,Data Engineer,Mid-level,Full-time,Remote,2023,France,48000,EUR,51824,France,Medium,middle income
4895,Data DevOps Engineer,Senior-level,Full-time,Hybrid,2023,France,50000,EUR,53984,France,Small,middle income
6234,Data Scientist,Entry-level,Full-time,Hybrid,2022,United States,50000,USD,50000,Germany,Medium,middle income
6190,Data Scientist,Mid-level,Full-time,Remote,2022,France,50000,EUR,52533,France,Medium,middle income
6472,Data Analyst,Entry-level,Full-time,Hybrid,2021,France,50000,EUR,59102,France,Medium,middle income
6239,Data Engineer,Mid-level,Part-time,Hybrid,2022,Germany,50000,EUR,52533,Germany,Large,middle income
6589,Data Engineer,Mid-level,Full-time,Remote,2020,Germany,51999,EUR,59303,Germany,Small,middle income
6240,Data Engineer,Entry-level,Full-time,Remote,2022,Pakistan,52800,EUR,55475,Germany,Medium,middle income
6471,Research Scientist,Mid-level,Full-time,Hybrid,2021,France,53000,EUR,62649,France,Medium,middle income
4880,Data Engineer,Mid-level,Full-time,Remote,2023,France,53000,EUR,57223,France,Medium,middle income
6495,Data Analyst,Senior-level,Full-time,Hybrid,2021,Germany,54000,EUR,63831,Germany,Large,middle income
6487,Data Science Consultant,Entry-level,Full-time,Hybrid,2021,Germany,54000,EUR,63831,Germany,Large,middle income
6493,Data Engineer,Entry-level,Full-time,Hybrid,2021,Germany,55000,EUR,65013,Germany,Medium,middle income
6197,Director of Data Science,Senior-level,Full-time,Hybrid,2022,France,55000,EUR,57786,France,Large,middle income
4962,Data Analyst,Mid-level,Full-time,Hybrid,2023,Germany,55000,EUR,59382,Germany,Large,middle income
6592,Data Scientist,Entry-level,Full-time,Hybrid,2020,Germany,55000,EUR,62726,Germany,Small,middle income
4948,Data Scientist,Mid-level,Full-time,Remote,2023,Germany,56000,EUR,60462,Germany,Large,middle income
6191,Computer Vision Engineer,Mid-level,Full-time,Remote,2022,France,56000,EUR,58837,France,Small,middle income
4971,Data Scientist,Mid-level,Full-time,Remote,2023,Austria,56000,EUR,60462,Germany,Medium,middle income
6225,BI Data Analyst,Entry-level,Full-time,On-site,2022,Germany,58000,EUR,60938,Germany,Large,middle income
6236,Data Scientist,Mid-level,Full-time,Remote,2022,Germany,58000,EUR,60938,Germany,Small,middle income
6227,Data Scientist,Mid-level,Full-time,On-site,2022,Germany,58000,EUR,60938,Germany,Medium,middle income
6192,Data Scientist,Mid-level,Full-time,Remote,2022,France,60000,EUR,63040,France,Medium,middle income
4957,Applied Data Scientist,Senior-level,Full-time,On-site,2023,Germany,60000,EUR,64781,Germany,Large,middle income
4954,AI Scientist,Senior-level,Full-time,Hybrid,2023,Germany,60000,EUR,64781,Germany,Large,middle income
4890,Data Engineer,Mid-level,Full-time,Remote,2023,France,60000,EUR,64781,France,Medium,middle income
4975,AI Developer,Entry-level,Full-time,On-site,2023,Germany,60000,EUR,64781,Germany,Medium,middle income
4896,Data Scientist,Mid-level,Full-time,Hybrid,2023,France,60000,EUR,64781,France,Medium,middle income
6226,Data Scientist,Mid-level,Full-time,On-site,2022,Germany,61000,EUR,64090,Germany,Medium,middle income
